,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Saint-Philippe,RE,77.0,few clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
4,Itarema,BR,84.7,clear sky,-2.92,-39.92,Windvillage
6,Takoradi,GH,79.09,clear sky,4.88,-1.76,Raybow International Hotel
9,Limon,CR,82.4,broken clouds,10.0,-83.03,Hotel Playa Bonita
12,Vanimo,PG,77.85,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
17,Hithadhoo,MV,81.55,overcast clouds,-0.6,73.08,Scoop Guest House
18,Arraial Do Cabo,BR,84.2,clear sky,-22.97,-42.03,Pousada Porto Praia
19,Saint-Pierre,RE,77.0,few clouds,-21.34,55.48,Lindsey Hôtel
26,Sao Jose Da Coroa Grande,BR,79.77,broken clouds,-8.9,-35.15,Crôa Mares Hotel
28,Pitimbu,BR,86.0,scattered clouds,-7.47,-34.81,Reserva do Abiaí
30,Mahajanga,MG,84.2,few clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
33,Namatanai,PG,79.95,light rain,-3.67,152.43,Namatanai Hotel
35,San Patricio,US,84.2,broken clouds,28.02,-97.52,"Motel 6 Sinton, TX"
38,Avarua,CK,78.8,light rain,-21.21,-159.78,Paradise Inn
39,Atuona,PF,77.85,few clouds,-9.8,-139.03,Villa Enata
42,Naranjal,EC,82.4,broken clouds,-2.67,-79.62,Media Naranja
45,Butaritari,KI,81.39,broken clouds,3.07,172.79,Isles Sunset Lodge
46,Vaini,TO,78.8,light rain,-21.2,-175.2,Keleti Beach Resort
48,Noumea,NC,75.99,broken clouds,-22.28,166.46,Hôtel Le Lagon
49,Bathsheba,BB,78.8,broken clouds,13.22,-59.52,Atlantis Hotel
51,Brazzaville,CG,76.68,light rain,-4.27,15.28,Hotel Murex
54,Salalah,OM,78.8,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
58,Samarai,PG,79.12,overcast clouds,-10.62,150.67,Nuli Sapi
60,Atambua,ID,76.05,overcast clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
62,Laredo,US,86.0,clear sky,27.51,-99.51,La Quinta Inn by Wyndham Laredo I-35
67,Puerto Ayora,EC,78.8,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
74,High Rock,BS,77.0,broken clouds,26.62,-78.28,Ocean Pearl Bonefishing Resort
77,San Cristobal,VE,80.6,fog,7.77,-72.22,Pirineos
78,Manacapuru,BR,82.4,shower rain,-3.3,-60.62,Novo Hotel
80,Yulara,AU,75.2,scattered clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
82,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
86,Sao Joao Da Barra,BR,82.4,clear sky,-21.64,-41.05,Pousada Porto De Canoas
98,Kabanjahe,ID,75.2,broken clouds,3.1,98.49,Pelindung Bawah Losmen
102,Alice Springs,AU,75.2,clear sky,-23.7,133.88,Desert Palms Alice Springs
107,Gizo,SB,82.85,overcast clouds,-8.1,156.84,Imagination Island
113,Paraguacu,BR,84.43,overcast clouds,-21.55,-45.74,Matinada Palace Hotel
115,Kapaa,US,78.8,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
127,Sinnamary,GF,83.89,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
130,Sao Gabriel Da Cachoeira,BR,79.27,overcast clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
135,Kahului,US,75.2,scattered clouds,20.89,-156.47,Maui Seaside Hotel
138,Mar Del Plata,AR,80.6,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
140,Puerto Leguizamo,CO,82.49,light rain,-0.19,-74.78,la casona de juancho
141,Ambulu,ID,77.31,overcast clouds,-8.35,113.61,Hotel Ambulu Jember
143,Manaus,BR,84.2,scattered clouds,-3.1,-60.02,Hotel do Largo
144,Tabou,CI,78.75,overcast clouds,4.42,-7.35,hotêl doufoulougou
145,Belmonte,BR,86.0,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
148,Bentong,MY,78.01,few clouds,3.52,101.91,Tras Mutiara Hotel Bentong
149,Juxtlahuaca,MX,88.88,clear sky,17.43,-99.15,"Casa de Huespedes ""El centro"""
156,Banjar,ID,80.6,scattered clouds,-8.19,114.97,The Hamsa Resort
162,Lorengau,PG,80.42,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
163,Praia,CV,78.8,few clouds,14.92,-23.51,LT Aparthotel
165,Cabinda,AO,78.12,scattered clouds,-5.55,12.2,"Hotel Executivo , 3 estrelas"
167,Oussouye,SN,84.2,clear sky,12.48,-16.55,Auberge du Routard
171,Amahai,ID,84.0,overcast clouds,-3.33,128.92,HOTEL ISABELA
172,Mahebourg,MU,75.2,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
176,Labuhan,ID,79.88,light rain,-6.88,112.21,bador sepret
177,Trinidad,BO,86.0,light rain,-14.83,-64.9,Hotel Piesta
181,Miraflores,MX,77.0,clear sky,19.22,-98.81,Hotel Mansión
183,Broken Hill,AU,84.2,clear sky,-31.95,141.43,Daydream Motel & Cottages
188,Mancio Lima,BR,78.8,broken clouds,-7.61,-72.9,Hotel e Distribuidora Voyage
191,Kavaratti,IN,81.37,light rain,10.57,72.64,Hotels in Lakshadweep Islands
193,Puerto Ayacucho,VE,78.89,overcast clouds,5.66,-67.62,Posada Turistica Manapiare
194,Buchanan,LR,82.4,scattered clouds,5.88,-10.05,Kamaneahn Hotel Inc
196,Dawei,MM,77.86,overcast clouds,14.08,98.2,Hotel Dawei
199,Cape Coast,GH,79.11,clear sky,5.11,-1.25,Samrit Hotel
210,Paka,MY,82.4,overcast clouds,4.64,103.44,Rumbia Resort Villa Paka Terengganu
218,Biak,ID,78.8,overcast clouds,-0.91,122.88,Kost Ariz
222,Port-Gentil,GA,78.8,thunderstorm,-0.72,8.78,Fengshui Residence
224,Sao Felix Do Xingu,BR,88.88,scattered clouds,-6.64,-51.99,Apart Hotel Rio Xingu
225,Plaeng Yao,TH,81.0,clear sky,13.58,101.28,Nongkrok Resort
227,Santarem,BR,82.4,broken clouds,-2.44,-54.71,Hotel Imperador
230,Cabo San Lucas,MX,84.0,few clouds,22.89,-109.91,Hotel Tesoro Los Cabos
231,Cayenne,GF,77.0,broken clouds,4.93,-52.33,Hôtel Le Dronmi
232,Alofi,NU,78.8,overcast clouds,-19.06,-169.92,Taloa Heights
236,Bambous Virieux,MU,75.2,scattered clouds,-20.34,57.76,Casa Tia Villa
239,Kalmunai,LK,79.0,light rain,7.42,81.82,VS Villa
242,Inhambane,MZ,78.8,scattered clouds,-23.86,35.38,Oceano
249,Del Rio,US,75.2,few clouds,29.36,-100.9,Holiday Inn Express & Suites del Rio
250,Sola,VU,79.25,clear sky,-13.88,167.55,Ulkel Guest House
257,Sorong,ID,80.51,overcast clouds,-0.88,131.25,The Waigo Hotel
265,Jacqueville,CI,82.4,few clouds,5.21,-4.41,Hotel Le Martin Pecheur
269,Vila Velha,BR,82.99,few clouds,-20.33,-40.29,Hotel Vitória Palace
273,Pemangkat,ID,76.15,overcast clouds,1.17,108.97,Kost H.Syamsuddin
277,Luwuk,ID,79.47,overcast clouds,-0.95,122.79,Hotel Santika Luwuk
287,Presidencia Roque Saenz Pena,AR,89.01,overcast clouds,-26.79,-60.44,Hotel Aconcagua
288,Eyl,SO,76.53,clear sky,7.98,49.82,Amiin Hotel
294,Hobyo,SO,79.68,broken clouds,5.35,48.53,Halane Hotel and Restaurent
296,Pangai,TO,78.8,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
297,Olinda,BR,80.6,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
298,Tomatlan,MX,88.11,clear sky,19.93,-105.25,Norma franco
304,Mitsamiouli,KM,81.48,clear sky,-11.38,43.28,Foyer ADM
306,Rawson,AR,79.61,overcast clouds,-43.3,-65.1,Hotel Punta León
307,Houma,US,82.0,scattered clouds,29.6,-90.72,Courtyard by Marriott Houma
308,Arlit,NE,81.1,clear sky,18.74,7.39,Hôtel Telwa Bungalow
310,Faanui,PF,80.1,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
316,La Peca,PE,79.34,light rain,-5.61,-78.44,Iks Fuente De Soda Restaurant
320,Cururupu,BR,83.41,light rain,-1.83,-44.87,Pousada Través'cia
323,Jacareacanga,BR,86.0,few clouds,-6.22,-57.75,Casa do Ian😎
326,Bakel,SN,82.49,clear sky,14.9,-12.46,Hôtel islam
330,Nouakchott,MR,77.0,clear sky,18.09,-15.98,Hôtel Iman
333,Porto Nacional,BR,89.6,few clouds,-10.71,-48.42,Vila Real Hotel
336,Tsevie,TG,82.4,few clouds,6.43,1.21,Hotel Melissa
338,Gweta,BW,88.66,clear sky,-20.18,25.23,Gweta Lodge
340,Champerico,GT,89.6,scattered clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
