,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobyo,SO,5.35,48.53,79.45,76,17,16.13,few clouds
1,Bredasdorp,ZA,-34.53,20.04,55.4,87,10,3.36,clear sky
2,Yulara,AU,-25.24,130.99,80.6,42,0,16.11,clear sky
3,Vaini,TO,-21.2,-175.2,84.2,66,20,18.34,few clouds
4,Castro,BR,-24.79,-50.01,65.17,94,72,3.13,moderate rain
5,Svetlyy,RU,54.67,20.13,37.4,86,75,11.18,broken clouds
6,Norman Wells,CA,65.28,-126.83,-13.0,83,40,3.36,scattered clouds
7,Rikitea,PF,-23.12,-134.97,76.82,79,100,14.14,light rain
8,Andenes,NO,69.31,16.12,41.0,93,86,19.46,light rain
9,Mataura,NZ,-46.19,168.86,53.01,90,64,10.0,broken clouds
10,Gat,IL,31.61,34.76,57.2,87,0,3.36,clear sky
11,Bayan,CN,46.08,127.4,-1.95,92,0,5.68,clear sky
12,Lapeer,US,43.05,-83.32,41.0,52,1,5.82,clear sky
13,Cape Town,ZA,-33.93,18.42,63.0,72,0,21.92,clear sky
14,Concepcion Del Oro,MX,24.63,-101.42,70.86,31,90,10.63,overcast clouds
15,Airai,TL,-8.93,125.41,68.45,79,99,1.07,overcast clouds
16,Puerto Ayora,EC,-0.74,-90.35,72.0,87,69,5.01,broken clouds
17,Qaanaaq,GL,77.48,-69.36,1.83,86,100,8.28,overcast clouds
18,Punta Arenas,CL,-53.15,-70.92,48.2,57,40,36.91,scattered clouds
19,Hermanus,ZA,-34.42,19.23,55.99,88,14,8.81,few clouds
20,Dikson,RU,73.51,80.55,30.9,98,100,20.04,overcast clouds
21,Jamestown,US,42.1,-79.24,37.99,64,1,5.82,clear sky
22,Laredo,US,27.51,-99.51,60.8,87,90,14.99,overcast clouds
23,Cherskiy,RU,68.75,161.3,-2.2,93,100,4.23,overcast clouds
24,Ambon,ID,-3.7,128.18,77.0,94,40,4.7,light rain
25,Busselton,AU,-33.65,115.33,55.51,69,91,5.48,overcast clouds
26,Ponta Pora,BR,-22.54,-55.73,77.95,57,0,2.89,clear sky
27,Avarua,CK,-21.21,-159.78,80.6,88,80,9.17,light rain
28,Hobart,AU,-42.88,147.33,60.01,82,90,10.29,overcast clouds
29,Arraial Do Cabo,BR,-22.97,-42.03,75.2,88,0,21.92,clear sky
30,Dickinson,US,29.46,-95.05,66.2,88,90,9.17,moderate rain
31,Longyearbyen,SJ,78.22,15.64,24.8,73,75,23.04,light snow
32,Szprotawa,PL,51.57,15.54,36.0,44,58,5.08,broken clouds
33,Mar Del Plata,AR,-38.0,-57.56,68.0,88,90,9.17,light rain
34,Port Lincoln,AU,-34.73,135.87,60.35,60,37,13.15,scattered clouds
35,Harper,LR,4.38,-7.72,78.49,85,10,6.02,moderate rain
36,Komsomolskiy,UZ,40.43,71.72,33.8,74,1,4.7,clear sky
37,Tromso,NO,69.65,18.96,42.8,75,90,38.03,light intensity drizzle
38,Udachnyy,RU,66.42,112.4,-0.4,91,0,2.24,clear sky
39,Yellowknife,CA,62.46,-114.35,-4.0,76,40,9.17,scattered clouds
40,East London,ZA,-33.02,27.91,65.44,82,19,12.91,light rain
41,Faanui,PF,-16.48,-151.75,81.5,73,20,5.01,few clouds
42,Louis Trichardt,ZA,-23.04,29.9,66.27,82,2,1.77,clear sky
43,Ushuaia,AR,-54.8,-68.3,48.2,42,75,20.8,broken clouds
44,Hilo,US,19.73,-155.09,82.4,58,40,9.17,scattered clouds
45,Jaisalmer,IN,26.91,70.92,57.45,34,0,5.03,clear sky
46,Kapaa,US,22.08,-159.32,80.6,61,20,18.34,few clouds
47,Kamaishi,JP,39.27,141.88,33.8,100,75,1.12,broken clouds
48,Hualmay,PE,-11.1,-77.61,67.19,76,39,9.42,scattered clouds
49,Tuatapere,NZ,-46.13,167.68,53.01,90,49,10.0,scattered clouds
50,Sarankhola,BD,22.31,89.79,63.07,67,0,5.32,clear sky
51,Atuona,PF,-9.8,-139.03,79.14,73,38,15.1,light rain
52,Bandarbeyla,SO,9.49,50.81,75.88,78,1,15.84,clear sky
53,Nanortalik,GL,60.14,-45.24,33.01,94,100,12.26,snow
54,Los Llanos De Aridane,ES,28.66,-17.92,64.4,68,0,9.17,clear sky
55,Catuday,PH,16.29,119.81,78.28,81,100,9.84,overcast clouds
56,Barrow,US,71.29,-156.79,8.6,78,90,4.7,overcast clouds
57,Ancud,CL,-41.87,-73.82,57.2,47,75,14.99,broken clouds
58,Haines Junction,CA,60.75,-137.51,24.8,92,100,2.24,snow
59,Richards Bay,ZA,-28.78,32.04,72.99,83,88,12.1,light rain
60,Sibiti,CG,-3.68,13.35,70.12,98,100,1.79,moderate rain
61,Karratha,AU,-20.74,116.85,82.65,61,0,8.88,light rain
62,Albany,US,42.6,-73.97,43.0,68,26,7.76,scattered clouds
63,Huarmey,PE,-10.07,-78.15,68.7,72,32,8.79,scattered clouds
64,Husavik,IS,66.04,-17.34,35.6,59,0,16.11,clear sky
65,Margate,GB,51.38,1.39,50.0,85,0,1.01,clear sky
66,Bengkulu,ID,-3.8,102.27,73.18,88,97,4.68,light rain
67,Matay,EG,28.42,30.78,55.22,71,0,6.42,clear sky
68,Bluff,NZ,-46.6,168.33,53.01,88,79,11.99,broken clouds
69,Auki,SB,-8.77,160.7,84.88,72,89,1.14,light rain
70,Hithadhoo,MV,-0.6,73.08,82.0,72,73,10.02,broken clouds
71,Bemidji,US,47.47,-94.88,39.2,60,1,5.82,clear sky
72,Bethel,US,41.37,-73.41,44.01,77,25,1.01,scattered clouds
73,Tazovskiy,RU,67.47,78.7,1.67,93,100,12.37,overcast clouds
74,Machali,CL,-34.18,-70.67,80.6,30,0,5.64,clear sky
75,Hasaki,JP,35.73,140.83,44.6,65,75,1.12,broken clouds
76,Kodiak,US,57.79,-152.41,33.8,81,90,4.7,overcast clouds
77,Lebu,CL,-37.62,-73.65,57.61,95,100,7.09,overcast clouds
78,Gaya,IN,24.78,85.0,59.58,50,0,4.41,clear sky
79,Maltahohe,NA,-24.83,16.98,63.9,28,7,7.61,clear sky
80,Beringovskiy,RU,63.05,179.32,8.55,93,25,13.51,scattered clouds
81,Muyezerskiy,RU,63.93,31.65,20.64,98,28,5.14,scattered clouds
82,Carnarvon,AU,-24.87,113.63,66.2,93,5,11.41,clear sky
83,Kavaratti,IN,10.57,72.64,82.0,73,29,9.53,scattered clouds
84,Coquimbo,CL,-29.95,-71.34,62.6,72,0,12.75,clear sky
85,Ponta Do Sol,PT,32.67,-17.1,59.0,58,40,11.41,scattered clouds
86,Port Alfred,ZA,-33.59,26.89,63.28,84,23,9.1,few clouds
87,Morden,CA,49.19,-98.1,42.8,48,31,3.36,scattered clouds
88,Eyl,SO,7.98,49.82,75.42,78,0,14.0,clear sky
89,Ryotsu,JP,38.08,138.43,42.8,81,75,11.41,broken clouds
90,Port Hardy,CA,50.7,-127.42,44.6,81,90,6.93,overcast clouds
91,Ilo,PE,-17.64,-71.34,66.49,79,93,3.13,moderate rain
92,Atar,MR,20.52,-13.05,65.86,39,100,8.01,overcast clouds
93,Lexington Park,US,38.27,-76.45,57.2,50,1,6.93,clear sky
