City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Qaanaaq,GL,2020-11-25 00:36:13,77.48,-69.36,8.89,91,100,1.5
1,Arman,RU,2020-11-25 00:36:13,59.7,150.17,2.44,84,0,7.96
2,Bethel,US,2020-11-25 00:36:13,41.37,-73.41,36.0,80,1,3.36
3,Vaini,TO,2020-11-25 00:36:13,-21.2,-175.2,82.4,78,75,9.17
4,Mehamn,NO,2020-11-25 00:36:14,71.04,27.85,29.82,94,100,12.86
5,Coleraine,GB,2020-11-25 00:35:16,55.13,-6.67,46.4,93,40,8.05
6,Cabedelo,BR,2020-11-25 00:25:54,-6.98,-34.83,77.0,88,20,6.93
7,Sao Joao Da Barra,BR,2020-11-25 00:23:26,-21.64,-41.05,72.63,86,98,9.73
8,Kismayo,SO,2020-11-25 00:34:19,-0.36,42.55,79.43,84,0,7.87
9,Ushuaia,AR,2020-11-25 00:31:15,-54.8,-68.3,44.6,65,75,6.93
10,Vila Franca Do Campo,PT,2020-11-25 00:36:14,37.72,-25.43,55.4,58,20,11.41
11,Sangar,RU,2020-11-25 00:36:15,63.92,127.47,-18.24,87,30,5.3
12,Bredasdorp,ZA,2020-11-25 00:36:15,-34.53,20.04,53.6,66,13,8.05
13,Maceio,BR,2020-11-25 00:25:51,-9.67,-35.74,75.2,94,75,9.17
14,Havelock,US,2020-11-25 00:33:21,34.88,-76.9,46.99,83,7,4.47
15,Nagapattinam,IN,2020-11-25 00:36:15,10.77,79.83,73.72,88,100,23.22
16,Arraial Do Cabo,BR,2020-11-25 00:33:31,-22.97,-42.03,75.2,78,75,14.99
17,Taybad,IR,2020-11-25 00:36:16,34.74,60.78,31.89,86,0,1.14
18,Kysyl-Syr,RU,2020-11-25 00:36:16,63.9,122.76,-1.46,91,100,10.56
19,Nelson Bay,AU,2020-11-25 00:33:41,-32.72,152.15,75.0,53,40,12.75
20,Tsumeb,NA,2020-11-25 00:36:16,-19.23,17.72,77.45,49,100,10.36
21,Pangnirtung,CA,2020-11-25 00:36:16,66.15,-65.71,5.0,77,90,11.41
22,Komsomolskiy,UZ,2020-11-25 00:36:18,40.43,71.72,24.8,92,90,2.24
23,Rikitea,PF,2020-11-25 00:36:18,-23.12,-134.97,74.86,83,98,12.5
24,Kavieng,PG,2020-11-25 00:36:18,-2.57,150.8,84.94,72,100,8.81
25,Saldanha,ZA,2020-11-25 00:36:18,-33.01,17.94,53.6,76,40,2.24
26,Quesnel,CA,2020-11-25 00:36:19,53.0,-122.5,32.0,93,90,2.24
27,Tarbagatay,RU,2020-11-25 00:36:19,51.48,107.36,15.8,78,90,8.95
28,Busselton,AU,2020-11-25 00:33:12,-33.65,115.33,62.01,62,0,3.0
29,Mataura,NZ,2020-11-25 00:36:19,-46.19,168.86,69.01,43,0,7.0
30,Cape Town,ZA,2020-11-25 00:32:10,-33.93,18.42,59.0,58,75,4.7
31,Albany,US,2020-11-25 00:36:19,42.6,-73.97,33.01,61,99,2.55
32,Matara,LK,2020-11-25 00:36:20,5.95,80.54,77.13,86,100,9.62
33,Sinnamary,GF,2020-11-25 00:26:47,5.38,-52.95,78.48,86,24,9.86
34,Makakilo City,US,2020-11-25 00:26:58,21.35,-158.09,86.0,51,75,10.29
35,Yellowknife,CA,2020-11-25 00:36:20,62.46,-114.35,14.0,92,90,12.75
36,Sao Felix Do Xingu,BR,2020-11-25 00:36:20,-6.64,-51.99,73.29,95,34,1.19
37,Airai,TL,2020-11-25 00:36:20,-8.93,125.41,77.25,58,74,0.76
38,Richards Bay,ZA,2020-11-25 00:36:21,-28.78,32.04,70.18,88,100,11.36
39,Kirakira,SB,2020-11-25 00:36:21,-10.45,161.92,79.75,82,100,15.82
40,Saskylakh,RU,2020-11-25 00:36:21,71.92,114.08,-5.15,91,72,4.36
41,Hithadhoo,MV,2020-11-25 00:36:21,-0.6,73.08,81.63,79,0,11.07
42,Avarua,CK,2020-11-25 00:32:18,-21.21,-159.78,78.8,83,100,4.7
43,Nueva Helvecia,UY,2020-11-25 00:36:22,-34.3,-57.23,69.01,77,2,10.0
44,Rio Gallegos,AR,2020-11-25 00:36:22,-51.62,-69.22,53.6,58,75,3.36
45,Khatanga,RU,2020-11-25 00:36:22,71.97,102.5,9.91,96,99,8.57
46,Victor Harbor,AU,2020-11-25 00:36:22,-35.57,138.62,82.99,36,0,1.01
47,Sioux Lookout,CA,2020-11-25 00:36:04,50.1,-91.92,28.4,100,90,6.93
48,Klaksvik,FO,2020-11-25 00:36:23,62.23,-6.59,37.4,93,0,1.12
49,Piacabucu,BR,2020-11-25 00:36:24,-10.41,-36.43,75.38,79,47,6.71
50,Hornepayne,CA,2020-11-25 00:36:24,49.21,-84.77,23.76,93,100,10.58
51,Half Moon Bay,US,2020-11-25 00:33:31,37.46,-122.43,63.0,87,40,9.17
52,Jamestown,US,2020-11-25 00:36:24,42.1,-79.24,39.0,69,90,8.05
53,Kapaa,US,2020-11-25 00:36:25,22.08,-159.32,80.6,74,90,19.46
54,Portland,US,2020-11-25 00:33:15,45.52,-122.68,51.01,87,100,4.0
55,Tasiilaq,GL,2020-11-25 00:36:25,65.61,-37.64,21.2,79,100,10.29
56,Barrow,US,2020-11-25 00:35:48,71.29,-156.79,12.2,78,90,19.46
57,Riyadh,SA,2020-11-25 00:34:21,24.69,46.72,53.6,62,0,2.73
58,Mumford,GH,2020-11-25 00:36:25,5.26,-0.76,79.23,86,4,9.1
59,Vostok,RU,2020-11-25 00:36:25,46.49,135.88,19.24,95,87,4.65
60,Souillac,MU,2020-11-25 00:36:26,-20.52,57.52,75.2,88,75,11.41
61,Dhupgari,IN,2020-11-25 00:36:26,26.59,89.01,60.82,63,50,2.08
62,Atuona,PF,2020-11-25 00:36:26,-9.8,-139.03,78.64,73,75,13.22
63,Chokurdakh,RU,2020-11-25 00:36:26,70.63,147.92,-0.69,93,100,10.47
64,Lima,PE,2020-11-25 00:36:22,-12.04,-77.03,64.4,72,0,14.99
65,Butaritari,KI,2020-11-25 00:36:26,3.07,172.79,82.35,78,100,18.68
66,Sao Filipe,CV,2020-11-25 00:36:26,14.9,-24.5,79.59,70,100,4.88
67,Pauini,BR,2020-11-25 00:36:27,-7.71,-66.98,75.99,96,100,3.6
68,Mahebourg,MU,2020-11-25 00:36:27,-20.41,57.7,75.2,88,75,11.41
69,Miracatu,BR,2020-11-25 00:36:27,-24.28,-47.46,67.93,94,29,2.51
70,Thompson,CA,2020-11-25 00:36:27,55.74,-97.86,1.4,84,20,5.82
71,Bardejov,SK,2020-11-25 00:36:27,49.29,21.27,32.0,100,97,18.01
72,Tselinnoye,RU,2020-11-25 00:36:27,53.08,85.67,13.84,96,82,0.6
73,Moron,AR,2020-11-25 00:34:39,-34.65,-58.62,73.4,60,0,20.8
74,Houlton,US,2020-11-25 00:36:28,46.13,-67.84,21.2,62,90,8.05
75,Ahipara,NZ,2020-11-25 00:36:28,-35.17,173.17,69.84,66,24,18.84
76,Port Alfred,ZA,2020-11-25 00:36:28,-33.59,26.89,62.64,67,100,18.77
77,Geraldton,AU,2020-11-25 00:34:09,-28.77,114.6,71.6,68,7,21.92
78,Santa Isabel Do Rio Negro,BR,2020-11-25 00:36:29,-0.41,-65.02,75.76,93,73,1.07
79,Nanortalik,GL,2020-11-25 00:36:29,60.14,-45.24,32.47,96,100,38.52
80,Hermanus,ZA,2020-11-25 00:36:29,-34.42,19.23,57.0,71,28,1.01
81,San Cristobal,VE,2020-11-25 00:36:29,7.77,-72.22,80.6,78,40,2.24
82,Sitka,US,2020-11-25 00:36:29,57.05,-135.33,44.6,70,90,8.05
83,Ribeira Grande,PT,2020-11-25 00:36:30,38.52,-28.7,57.34,58,6,15.82
84,Georgetown,MY,2020-11-25 00:33:48,5.41,100.34,77.0,100,20,4.72
85,Luanda,AO,2020-11-25 00:36:30,-8.84,13.23,77.0,88,20,6.93
86,Hobart,AU,2020-11-25 00:35:14,-42.88,147.33,82.0,53,75,10.29
87,Fortuna,US,2020-11-25 00:33:03,40.6,-124.16,54.0,14,39,1.99
88,Te Anau,NZ,2020-11-25 00:36:30,-45.42,167.72,65.97,41,0,3.85
89,Hasaki,JP,2020-11-25 00:36:30,35.73,140.83,50.0,93,75,12.75
90,Tuktoyaktuk,CA,2020-11-25 00:36:30,69.45,-133.04,-0.4,84,75,3.36
91,Weligama,LK,2020-11-25 00:36:30,5.97,80.42,77.49,86,100,9.31
92,Punta Arenas,CL,2020-11-25 00:36:31,-53.15,-70.92,46.4,75,75,13.87
93,Victoria,HK,2020-11-25 00:35:18,22.29,114.16,73.0,79,17,1.01
94,Saint-Augustin,CA,2020-11-25 00:26:42,51.23,-58.65,19.11,87,100,32.19
95,Bilma,NE,2020-11-25 00:36:31,18.69,12.92,63.41,36,0,16.98
96,Kabompo,ZM,2020-11-25 00:36:31,-13.59,24.2,64.67,95,100,1.99
97,Kodiak,US,2020-11-25 00:36:31,57.79,-152.41,39.2,80,1,4.7
98,Pimentel,PE,2020-11-25 00:36:31,-6.84,-79.93,66.2,72,0,19.46
99,Darhan,MN,2020-11-25 00:36:32,49.49,105.92,14.09,93,100,3.62
100,Sarkand,KZ,2020-11-25 00:36:32,45.41,79.92,18.46,74,0,4.32
101,Tiksi,RU,2020-11-25 00:36:32,71.69,128.87,-1.84,92,94,7.72
102,Lompoc,US,2020-11-25 00:36:32,34.64,-120.46,62.6,55,1,10.29
103,Bryan,US,2020-11-25 00:34:23,30.67,-96.37,75.99,73,75,13.87
104,The Valley,AI,2020-11-25 00:34:51,18.22,-63.06,80.6,83,20,6.93
105,Xining,CN,2020-11-25 00:36:32,36.62,101.77,19.67,91,28,1.16
106,Chapais,CA,2020-11-25 00:33:27,49.78,-74.85,8.6,92,90,3.36
107,Honningsvag,NO,2020-11-25 00:33:34,70.98,25.97,34.9,83,100,23.6
108,Warri,NG,2020-11-25 00:36:33,5.52,5.75,76.51,93,100,3.24
109,Vung Tau,VN,2020-11-25 00:34:47,10.35,107.08,80.65,69,100,6.02
110,Faanui,PF,2020-11-25 00:36:33,-16.48,-151.75,81.18,79,0,13.94
111,Cherskiy,RU,2020-11-25 00:36:33,68.75,161.3,-0.87,92,100,3.96
112,Ponta Do Sol,PT,2020-11-25 00:36:33,32.67,-17.1,62.6,77,40,2.24
113,Amahai,ID,2020-11-25 00:36:34,-3.33,128.92,85.93,68,87,1.25
114,Shenjiamen,CN,2020-11-25 00:36:34,29.96,122.3,61.02,88,100,1.41
115,Gamba,GA,2020-11-25 00:26:46,-2.65,10.0,78.04,90,98,3.65
116,Hilo,US,2020-11-25 00:36:34,19.73,-155.09,80.6,69,40,5.82
117,Severo-Kurilsk,RU,2020-11-25 00:36:34,50.68,156.12,30.4,90,94,33.33
118,High Prairie,CA,2020-11-25 00:36:34,55.43,-116.49,37.4,92,100,8.05
119,Batemans Bay,AU,2020-11-25 00:36:34,-35.72,150.18,66.99,77,4,11.99
120,Saint George,US,2020-11-25 00:36:36,37.1,-113.58,55.4,24,1,3.36
121,Port Lincoln,AU,2020-11-25 00:33:21,-34.73,135.87,79.48,33,0,7.61
122,Vaitape,PF,2020-11-25 00:36:36,-16.52,-151.75,82.24,77,0,14.67
123,Tazovskiy,RU,2020-11-25 00:36:36,67.47,78.7,9.45,95,100,9.98
124,Filingue,NE,2020-11-25 00:36:36,14.35,3.32,75.49,19,0,9.4
125,Kaitangata,NZ,2020-11-25 00:36:36,-46.28,169.85,62.01,75,0,10.0
126,Kaka,TM,2020-11-25 00:36:36,37.35,59.61,34.47,86,0,5.01
127,Lahij,YE,2020-11-25 00:36:36,13.17,44.58,75.22,69,95,4.61
128,Baraya,CO,2020-11-25 00:36:36,3.15,-75.05,73.99,69,99,5.86
129,Mar Del Plata,AR,2020-11-25 00:33:23,-38.0,-57.56,66.99,93,0,4.5
130,Huanren,CN,2020-11-25 00:36:37,41.26,125.37,32.18,85,100,2.28
131,Carutapera,BR,2020-11-25 00:36:37,-1.2,-46.02,78.93,84,61,7.94
132,Ayagoz,KZ,2020-11-25 00:26:50,47.97,80.44,6.49,90,3,8.12
133,Yerbogachen,RU,2020-11-25 00:36:37,61.28,108.01,-0.8,92,71,5.93
134,Lagoa,PT,2020-11-25 00:36:37,39.05,-27.98,56.59,57,15,15.82
135,Lasa,IT,2020-11-25 00:26:41,46.62,10.7,28.4,86,5,2.24
136,Lander,US,2020-11-25 00:36:37,42.83,-108.73,33.8,37,1,8.05
137,Balkhash,KZ,2020-11-25 00:36:38,46.84,74.98,12.42,92,0,12.62
138,Rawson,AR,2020-11-25 00:36:38,-43.3,-65.1,61.38,46,53,22.68
139,Torbay,CA,2020-11-25 00:36:38,47.67,-52.73,37.99,80,90,31.09
140,Banjar,ID,2020-11-25 00:36:38,-8.19,114.97,78.8,94,75,2.24
141,Carnarvon,AU,2020-11-25 00:36:38,-24.87,113.63,75.2,73,0,20.8
142,Kulunda,RU,2020-11-25 00:36:38,52.57,78.94,15.08,97,97,3.11
143,Bintulu,MY,2020-11-25 00:36:39,3.17,113.03,75.2,100,40,2.24
144,Jesus Carranza,MX,2020-11-25 00:36:39,17.43,-95.03,72.16,87,19,1.95
145,Along,IN,2020-11-25 00:36:39,28.17,94.77,51.98,59,0,1.7
146,Bluff,NZ,2020-11-25 00:36:39,-46.6,168.33,69.01,43,0,7.0
147,Fairbanks,US,2020-11-25 00:35:57,64.84,-147.72,6.8,84,40,1.12
148,Kjollefjord,NO,2020-11-25 00:36:39,70.95,27.35,31.15,92,100,13.56
149,Iquitos,PE,2020-11-25 00:34:23,-3.75,-73.25,82.4,78,0,3.44
150,Wamba,NG,2020-11-25 00:36:40,8.93,8.6,76.46,48,100,4.65
151,Bilibino,RU,2020-11-25 00:36:40,68.05,166.44,-2.25,90,100,3.31
152,Straumen,NO,2020-11-25 00:36:40,63.87,11.3,44.01,86,0,6.93
153,Kruisfontein,ZA,2020-11-25 00:36:40,-34.0,24.73,57.0,87,46,1.99
154,Longyearbyen,SJ,2020-11-25 00:36:40,78.22,15.64,26.6,92,75,3.36
155,Nikolskoye,RU,2020-11-25 00:36:41,59.7,30.79,36.0,97,75,4.47
156,Pacific Grove,US,2020-11-25 00:31:41,36.62,-121.92,55.4,76,1,5.19
157,Bonthe,SL,2020-11-25 00:36:41,7.53,-12.51,78.49,82,0,4.45
158,Taltal,CL,2020-11-25 00:36:41,-25.4,-70.48,62.73,66,65,3.53
159,Laela,TZ,2020-11-25 00:36:41,-8.57,32.05,64.31,65,42,1.54
160,Racine,US,2020-11-25 00:36:41,42.75,-88.08,39.99,93,90,6.93
161,Mount Isa,AU,2020-11-25 00:36:42,-20.73,139.5,98.6,13,8,8.05
162,Bengkulu,ID,2020-11-25 00:36:42,-3.8,102.27,74.95,92,100,2.66
163,Bathsheba,BB,2020-11-25 00:36:42,13.22,-59.52,80.6,78,40,16.11
164,Port-Cartier,CA,2020-11-25 00:36:42,50.03,-66.87,17.6,61,0,16.11
165,Luderitz,NA,2020-11-25 00:36:42,-26.65,15.16,62.6,63,0,11.41
166,Agapovka,RU,2020-11-25 00:36:43,53.3,59.13,12.2,85,40,2.24
167,Grahamstown,ZA,2020-11-25 00:32:28,-33.3,26.53,53.13,74,100,13.15
168,Isiro,CD,2020-11-25 00:36:43,2.77,27.62,66.36,97,100,2.51
169,Castro,BR,2020-11-25 00:36:43,-24.79,-50.01,62.15,97,9,7.0
170,Gisborne,NZ,2020-11-25 00:36:43,-38.65,178.0,63.0,81,100,5.01
171,Porteirinha,BR,2020-11-25 00:36:43,-15.74,-43.03,67.1,89,23,6.2
172,Tortoli,IT,2020-11-25 00:36:44,39.93,9.66,53.6,76,90,12.75
173,Matagami,CA,2020-11-25 00:36:44,49.75,-77.63,12.2,85,90,8.05
174,Chuy,UY,2020-11-25 00:36:44,-33.7,-53.46,73.2,72,1,13.27
175,Talara,PE,2020-11-25 00:36:44,-4.58,-81.27,63.86,86,51,15.08
176,Ayan,RU,2020-11-25 00:36:44,56.45,138.17,10.08,83,100,23.49
177,Lavrentiya,RU,2020-11-25 00:36:44,65.58,-171.0,37.09,93,100,39.12
178,Broome,US,2020-11-25 00:36:44,42.25,-75.83,30.2,68,1,4.7
179,Salta,AR,2020-11-25 00:36:45,-24.79,-65.41,80.6,51,0,3.36
180,Modica,IT,2020-11-25 00:36:45,36.85,14.77,57.99,95,91,3.91
181,Trogir,HR,2020-11-25 00:36:45,43.51,16.25,48.2,57,0,5.82
